candidate_id,source_type,osm_id,candidate_lat,candidate_lon,candidate_kind,building,has_address,nearest_node,nearest_node_lat,nearest_node_lon,snap_distance_m,direct_station_distance_m,kept,filter_reason
node/12414971345,node,12414971345,-37.6789287,144.5554938,address_point_or_object,,True,411,-37.67879486083984,144.5553436279297,19.90332510630979,3058.258538339258,True,kept
node/12414971346,node,12414971346,-37.6724538,144.5447142,address_point_or_object,,True,5669,-37.67238235473633,144.5448760986328,16.31415412721961,4175.4117765102355,True,kept
node/12414971347,node,12414971347,-37.6740827,144.5477002,address_point_or_object,,True,5654,-37.67403030395508,144.5478057861328,10.968105191647917,3876.710625306589,True,kept
node/12414971348,node,12414971348,-37.6735854,144.5445,address_point_or_object,,True,7344,-37.673580169677734,144.54437255859375,11.231378234195656,4084.9992160736115,True,kept
node/12414971349,node,12414971349,-37.6788472,144.5555591,address_point_or_object,,True,411,-37.67879486083984,144.5553436279297,19.83567682914489,3063.4193337441648,True,kept
node/12414971350,node,12414971350,-37.6782398,144.5435836,address_point_or_object,,True,8912,-37.6783447265625,144.5440673828125,44.14545212640586,3737.8484814510657,True,kept
node/12414971351,node,12414971351,-37.6769448,144.5439108,address_point_or_object,,True,8994,-37.67679214477539,144.54396057128906,17.53056180355294,3826.250443788475,True,kept
node/12414971352,node,12414971352,-37.6769448,144.5439108,address_point_or_object,,True,8994,-37.67679214477539,144.54396057128906,17.53056180355294,3826.250443788475,True,kept
node/12414971353,node,12414971353,-37.6782279,144.5437022,address_point_or_object,,True,8912,-37.6783447265625,144.5440673828125,34.66441055515735,3731.771648876027,True,kept
node/12414971354,node,12414971354,-37.6728033,144.552423,address_point_or_object,,True,5250,-37.6723518371582,144.55206298828125,59.36381317333532,3786.2124103691103,True,kept
node/12414971355,node,12414971355,-37.6726981,144.5607909,address_point_or_object,,True,8743,-37.672828674316406,144.56053161621094,27.04754579614514,3518.099373466494,True,kept
node/12414971356,node,12414971356,-37.6863225,144.5532354,address_point_or_object,,True,16433,-37.686317443847656,144.55307006835938,14.559447939565912,2501.426482398221,True,kept
node/12414971357,node,12414971357,-37.6753077,144.553425,address_point_or_object,,True,19479,-37.67555236816406,144.5531768798828,34.885673127143214,3498.888110418798,True,kept
node/12414971358,node,12414971358,-37.6798179,144.5602558,address_point_or_object,,True,104,-37.6799201965332,144.5604705810547,22.06033275233935,2787.102005517502,True,kept
node/12414971359,node,12414971359,-37.679845,144.5599633,address_point_or_object,,True,104,-37.6799201965332,144.5604705810547,45.419072712827486,2794.2352861968266,True,kept
node/12414971360,node,12414971360,-37.6843225,144.552354,address_point_or_object,,True,8892,-37.68435287475586,144.55287170410156,45.68234297354324,2719.8586254764136,True,kept
node/12414971361,node,12414971361,-37.6732106,144.5436326,address_point_or_object,,True,8939,-37.67319107055664,144.54344177246094,16.934914446231122,4164.269341873757,True,kept
node/12414971362,node,12414971362,-37.679122,144.5580355,address_point_or_object,,True,7466,-37.678802490234375,144.55812072753906,36.31101182551653,2936.987704796386,True,kept
node/12414971363,node,12414971363,-37.673426,144.5441379,address_point_or_object,,True,7345,-37.673431396484375,144.5443572998047,19.319068931949932,4118.3138876299145,True,kept
node/12414971364,node,12414971364,-37.6733283,144.5441029,address_point_or_object,,True,7346,-37.67329788208008,144.54429626464844,17.351231338514093,4128.844081633868,True,kept
node/12414971365,node,12414971365,-37.6772296,144.5425074,address_point_or_object,,True,16560,-37.67729568481445,144.5424346923828,9.74382435019639,3884.650585218577,True,kept
node/12414971366,node,12414971366,-37.6766229,144.5452849,address_point_or_object,,True,9066,-37.6767692565918,144.5453338623047,16.83494723920811,3776.084524600262,True,kept
