node_id,lat,lon
68,-37.677650451660156,144.5518035888672
69,-37.677589416503906,144.55123901367188
70,-37.67757034301758,144.55105590820312
71,-37.68089294433594,144.55340576171875
72,-37.681243896484375,144.55368041992188
73,-37.677947998046875,144.5533905029297
74,-37.67731475830078,144.55393981933594
75,-37.67667770385742,144.5544891357422
76,-37.67662048339844,144.55455017089844
77,-37.674774169921875,144.55409240722656
78,-37.67485809326172,144.55406188964844
79,-37.675357818603516,144.55393981933594
80,-37.67563247680664,144.55386352539062
81,-37.67565155029297,144.55386352539062
82,-37.67580032348633,144.55384826660156
83,-37.675846099853516,144.55384826660156
84,-37.67610168457031,144.55389404296875
85,-37.67632293701172,144.5540771484375
86,-37.67646026611328,144.55429077148438
87,-37.67702865600586,144.55531311035156
88,-37.67710876464844,144.55548095703125
89,-37.677154541015625,144.5556640625
90,-37.67717361450195,144.5557861328125
91,-37.67717742919922,144.555908203125
92,-37.67717742919922,144.5560760498047
93,-37.677154541015625,144.55625915527344
94,-37.677085876464844,144.55657958984375
95,-37.67702102661133,144.55686950683594
96,-37.677005767822266,144.5569610595703
97,-37.67813491821289,144.56134033203125
98,-37.67820358276367,144.56126403808594
99,-37.678680419921875,144.56068420410156
100,-37.678955078125,144.56045532226562
101,-37.67917251586914,144.56036376953125
102,-37.67933654785156,144.5603485107422
103,-37.679527282714844,144.5603485107422
104,-37.6799201965332,144.5604705810547
105,-37.680606842041016,144.56080627441406
106,-37.680755615234375,144.5609130859375
107,-37.681026458740234,144.5612030029297
108,-37.68112564086914,144.56134033203125
109,-37.68119812011719,144.56149291992188
110,-37.68133544921875,144.56202697753906
111,-37.681400299072266,144.56239318847656
112,-37.68146896362305,144.56263732910156
113,-37.6815071105957,144.56275939941406
114,-37.7092399597168,144.57386779785156
115,-37.709224700927734,144.57373046875
116,-37.70915985107422,144.57318115234375
117,-37.70913314819336,144.57296752929688
118,-37.709014892578125,144.57199096679688
119,-37.7089958190918,144.5718231201172
120,-37.708919525146484,144.57119750976562
121,-37.708892822265625,144.57102966308594
122,-37.708797454833984,144.5701904296875
123,-37.708797454833984,144.57017517089844
124,-37.70878601074219,144.570068359375
125,-37.70877456665039,144.56997680664062
126,-37.708595275878906,144.56849670410156
127,-37.708526611328125,144.56793212890625
128,-37.708438873291016,144.56719970703125
129,-37.708404541015625,144.56692504882812
130,-37.708316802978516,144.56622314453125
131,-37.708038330078125,144.5638885498047
132,-37.70803451538086,144.5638427734375
133,-37.686710357666016,144.53347778320312
134,-37.686744689941406,144.53433227539062
135,-37.686771392822266,144.53480529785156
136,-37.68681335449219,144.53533935546875
137,-37.68731689453125,144.5402374267578
138,-37.68742752075195,144.54129028320312
139,-37.68828582763672,144.5499725341797
140,-37.68891906738281,144.55624389648438
141,-37.6950798034668,144.5974884033203
142,-37.6950569152832,144.59852600097656
143,-37.69503402709961,144.5991973876953
144,-37.69500732421875,144.59976196289062
145,-37.69496536254883,144.6001434326172
146,-37.69490432739258,144.6005096435547
147,-37.69142532348633,144.56690979003906
148,-37.69196701049805,144.5668182373047
149,-37.69209671020508,144.56678771972656
150,-37.65167236328125,144.5745391845703
151,-37.65168380737305,144.57469177246094
152,-37.65275192260742,144.58358764648438
153,-37.65333557128906,144.58847045898438
154,-37.65378952026367,144.59201049804688
155,-37.65382766723633,144.59230041503906
156,-37.654075622558594,144.59422302246094
157,-37.654083251953125,144.59432983398438
158,-37.65409851074219,144.59442138671875
159,-37.65492248535156,144.60165405273438
160,-37.686134338378906,144.57823181152344
161,-37.6859130859375,144.5782012939453
162,-37.68495559692383,144.57809448242188
163,-37.68485641479492,144.5780792236328
164,-37.67446517944336,144.55166625976562
165,-37.67449188232422,144.55189514160156
166,-37.67449951171875,144.55194091796875
167,-37.67450714111328,144.55201721191406
168,-37.67452621459961,144.5521697998047
169,-37.674713134765625,144.5536346435547
170,-37.67470932006836,144.58412170410156
171,-37.67472457885742,144.5840606689453
172,-37.67472457885742,144.58399963378906
173,-37.67471694946289,144.58396911621094
174,-37.674705505371094,144.5839385986328
175,-37.674686431884766,144.5839080810547
176,-37.67466735839844,144.58389282226562
177,-37.67463684082031,144.5838623046875
178,-37.674598693847656,144.5838623046875
179,-37.674560546875,144.5838623046875
180,-37.67452621459961,144.58387756347656
181,-37.67449188232422,144.5839080810547
182,-37.674468994140625,144.5839385986328
183,-37.6744499206543,144.583984375
184,-37.67444610595703,144.5840301513672
185,-37.6744499206543,144.58409118652344
186,-37.674468994140625,144.58413696289062
187,-37.674495697021484,144.58416748046875
188,-37.674530029296875,144.58419799804688
189,-37.6745719909668,144.58421325683594
190,-37.67461013793945,144.58421325683594
191,-37.674652099609375,144.58419799804688
192,-37.6746826171875,144.58416748046875
193,-37.665931701660156,144.59439086914062
194,-37.66596984863281,144.59445190429688
195,-37.66598129272461,144.594482421875
196,-37.6660041809082,144.59454345703125
197,-37.66608428955078,144.59487915039062
198,-37.66611862182617,144.59503173828125
199,-37.666133880615234,144.5951690673828
200,-37.66614532470703,144.59532165527344
201,-37.66618347167969,144.5957489013672
202,-37.66618347167969,144.5957489013672
203,-37.66623306274414,144.59620666503906
204,-37.6662712097168,144.5965576171875
205,-37.666481018066406,144.5982208251953
206,-37.666500091552734,144.59837341308594
207,-37.66658401489258,144.5990753173828
208,-37.66659164428711,144.59915161132812
209,-37.66667556762695,144.5994110107422
