node_id,lat,lon
113,-37.6815071105957,144.56275939941406
130,-37.70831680297851,144.56622314453125
131,-37.708038330078125,144.5638885498047
153,-37.65333557128906,144.58847045898438
154,-37.65378952026367,144.59201049804688
155,-37.65382766723633,144.59230041503906
156,-37.654075622558594,144.59422302246094
158,-37.65409851074219,144.59442138671875
160,-37.686134338378906,144.57823181152344
161,-37.6859130859375,144.5782012939453
162,-37.68495559692383,144.57809448242188
167,-37.67450714111328,144.55201721191406
168,-37.67452621459961,144.5521697998047
169,-37.674713134765625,144.5536346435547
170,-37.67470932006836,144.58412170410156
175,-37.674686431884766,144.5839080810547
196,-37.6660041809082,144.59454345703125
197,-37.66608428955078,144.59487915039062
198,-37.66611862182617,144.59503173828125
201,-37.66618347167969,144.5957489013672
203,-37.66623306274414,144.59620666503906
205,-37.666481018066406,144.5982208251953
206,-37.666500091552734,144.59837341308594
207,-37.66658401489258,144.5990753173828
209,-37.66667556762695,144.5994110107422
210,-37.66414260864258,144.5947723388672
211,-37.664207458496094,144.5956268310547
212,-37.66357421875,144.59609985351562
213,-37.66347122192383,144.59620666503906
214,-37.66340255737305,144.59640502929688
216,-37.66339492797851,144.59671020507812
217,-37.6634407043457,144.5969696044922
218,-37.66355514526367,144.59744262695312
219,-37.66360855102539,144.59774780273438
220,-37.66371536254883,144.59864807128906
221,-37.66372299194336,144.59872436523438
222,-37.664344787597656,144.59559631347656
223,-37.66608047485352,144.59532165527344
224,-37.66625213623047,144.59530639648438
237,-37.704891204833984,144.54824829101562
238,-37.70482635498047,144.5482635498047
239,-37.70362854003906,144.54844665527344
240,-37.70356750488281,144.5484619140625
241,-37.70306015014648,144.5485382080078
242,-37.70283508300781,144.5485382080078
243,-37.702606201171875,144.5484619140625
244,-37.702423095703125,144.54833984375
246,-37.7021484375,144.548095703125
247,-37.702003479003906,144.5480499267578
248,-37.70185852050781,144.54808044433594
249,-37.70151901245117,144.5481414794922
250,-37.68399429321289,144.58352661132812
253,-37.683841705322266,144.5858154296875
256,-37.72247695922851,144.6151580810547
257,-37.7223014831543,144.6136016845703
258,-37.7220344543457,144.6112823486328
265,-37.73320770263672,144.6339874267578
266,-37.732723236083984,144.634033203125
267,-37.73234939575195,144.6340789794922
268,-37.73199462890625,144.6341094970703
269,-37.73177337646485,144.63414001464844
270,-37.73135757446289,144.63421630859375
271,-37.73099899291992,144.63429260253906
272,-37.72676086425781,144.63502502441406
273,-37.72491455078125,144.63531494140625
274,-37.723575592041016,144.63552856445312
278,-37.705474853515625,144.6385498046875
283,-37.682525634765625,144.61492919921875
325,-37.686771392822266,144.5990753173828
362,-37.682464599609375,144.55030822753906
363,-37.68251419067383,144.55050659179688
365,-37.6826286315918,144.55068969726562
366,-37.68274688720703,144.55076599121094
367,-37.68285369873047,144.55079650878906
368,-37.6829833984375,144.55079650878906
369,-37.6830940246582,144.55078125
370,-37.683650970458984,144.55067443847656
371,-37.68382263183594,144.55067443847656
